Situation 	Topic	Message	Message type	Values 	sub values 
waiting at stations	Check-in location	The plane landed. Are you coming?	Coordinating with someone		
waiting at stations	Check-in location	"I arrived at the __, __ ago; where are you?"	Coordinating with someone	"Airport, restaurant, mall, gym, store, bar, Starbucks, library, class, school -- 5 min, 10 min, 15 min, 20 min, 25 min, 30 min"	
nearby points-of-interest	Check-in location	"I need help to find the entrance, where are you?"	Requesting help		
walking to stations	Check-in location	"I need a ride, where are you?"	Requesting help		
walking to stations	Check-in location	Where are you? I need a ride to get to the __	Requesting help	"Airport, office, work, restaurant, mall, gym, store, bar, Starbucks, library, class, school"	
nearby points-of-interest	Check-in location	"I need help to get to the place, where are you?"	Requesting help		
in-vehicle	Check-in location	Where are you? I can give you a ride	Offering help		
in-vehicle	Check-in location	Where are you? I can ask __ to give you a ride	Offering help	"Mom, dad, my brother, my sister, the son, the daughter, my friend, my colleague, my wife, my husband"	
nearby points-of-interest	Check-in location	Are you here yet? I can guide you to the place	Offering help		
inside points-of-interest	Check-in location	Have you arrived at the __? I can ask __ to come and pick you up	Offering help	"Airport, office, work, restaurant, mall, gym, store, bar, Starbucks, library, class, school -- Mom, dad, my brother, my sister, the son, the daughter, my friend, my colleague, my wife, my husband"	
inside points-of-interest	Check-in location	Have you arrived at the __? I can come and pick you up	Offering help	"Airport, office, work, restaurant, mall, gym, store, bar, Starbucks, library, class, school "	
inside points-of-interest	Check-in location	Have you arrived at the __? I can come and guide you in	Offering help	"Train station, bus stop, restaurant, mall, gym, store, bar, Starbucks, library, class, school "	
waiting at stations	Check-in guest	Who is going to be for **? 	Coordinating with someone	"Breakfast, lunch, dinner, party, ceremony "	
waiting at stations	Check-in guest	How many people will come for __?	Coordinating with someone	"Breakfast, lunch, dinner, party, ceremony "	
waiting at stations	Check-in guest	Will you come for **?	Coordinating with someone	"Breakfast, lunch, dinner, party, ceremony "	
waiting at stations	Check-in guest	Are you ready for **?	Coordinating with someone	"Breakfast, lunch, dinner, party, ceremony "	
waiting at stations	Check-in guest	How many people are going to be here __?	Coordinating with someone	"Today, today afternoon, tonight, tomorrow, tomorrow morning, tomorrow afternoon, tomorrow night"	
waiting at stations	Check-in guest	How many people are going to be here on __?	Coordinating with someone	"Weekend, Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday, Friday  "	
waiting at stations	Check-in guest	Will __ come for __?	Coordinating with someone	"Your friends, your family, the son, dad, mom, the daughter, your wife, your husband -- Breakfast, lunch, dinner, party, ceremony "	
waiting at stations	Check-in guest	Everyone will come today?	Coordinating with someone		
waiting at stations	Check-in guest	Who is going to come on __?	Coordinating with someone	"Weekend, Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday, Friday  "	
waiting at stations	Check-in guest	Who is going to come  __?	Coordinating with someone	"Today, today afternoon, tonight, tomorrow, tomorrow morning, tomorrow afternoon, tomorrow night"	
in-vehicle	Check-in guest	Your __ will come today?	Coordinating with someone	"friends, family, son, dad, mom, daughter, wife, husband"	
in-vehicle	Check-in guest	Your __ will come for **?	Coordinating with someone	"friends, family, son, dad, mom, daughter, wife, husband -- Breakfast, lunch, dinner, party, ceremony "	
in-vehicle	Check-in guest	Your __ will come __?	Coordinating with someone	"friends, family, son, dad, mom, daughter, wife, husband -- Today, today afternoon, tonight, tomorrow, tomorrow morning, tomorrow afternoon, tomorrow night"	
in-vehicle	Check-in guest	Your __ will come on __?	Coordinating with someone	"friends, family, son, dad, mom, daughter, wife, husband --Weekend, Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday, Friday  "	
waiting at stations	Check-in guest	"Can you remind me later __, how many people are supposed to be for __?"	Reminding someone	"Today, today afternoon, tonight, tomorrow, tomorrow morning, tomorrow afternoon, tomorrow night -- Breakfast, lunch, dinner, party, ceremony "	
waiting at stations	Check-in guest	"Can you remind me later __, who is going to come for __?"	Reminding someone		
waiting at stations	Check-in guest	"Can you remind me later __, how many people are supposed to come on __?"	Reminding someone	"Today, today afternoon, tonight, tomorrow, tomorrow morning, tomorrow afternoon, tomorrow night -- Weekend, Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday, Friday  "	
waiting at stations	Check-in guest	"Can you remind me later __, who is going to come on__?"	Reminding someone		
waiting at stations	Check-in guest	Do we have __ guests for __?	Reminding someone	"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20 -- Breakfast, lunch, dinner, party, ceremony "	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
nearby frequently visited locations	Bring food	Could you bring food?	Requesting help		
inside frequently visited locations	Bring food	Can you bring breakfast in the morning?	Requesting help		
inside frequently visited locations	Bring food	Can you bring breakfast at __?	Requesting help	"7, 8, 9, 10"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
inside frequently visited locations	Bring food	Can you bring lunch in the afternoon?	Requesting help		
inside frequently visited locations	Bring food	Can you bring lunch at __?	Requesting help	"12, 1, 2, 3, 4"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
inside frequently visited locations	Bring food	Can you bring dinner at night?	Requesting help		
inside frequently visited locations	Bring food	Can you bring dinner at __?	Requesting help	"6, 7, 8, 9 ,10"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
inside frequently visited locations	Bring food	Could you bring __ for lunch?	Requesting help	"Food, pizza, sandwich, cookie, soup"	
inside frequently visited locations	Bring food	Could you bring __ for breakfast?	Requesting help	"Food, tea, coffee, biscuits, bacon, pancakes, cookies, milk, bread"	
inside frequently visited locations	Bring food	Could you bring __ for dinner?	Requesting help	"Food, pizza, desert, cookies, wine, salad, soup, snacks"	
inside frequently visited locations	Bring food	Can you ask __ to bring __?	Requesting help	"Your family, the son, the daughter, your wife, your husband, mom, dad, the colleague, the friend – breakfast, lunch, dinner"	
walking to stations	Bring food	"I don’t have a break today, could you please bring __?"	Requesting help	"Breakfast, lunch, dinner, food"	
walking to stations	Bring food	"I can't go outside today, could you please bring __?"	Requesting help	"Breakfast, lunch, dinner, food"	
inside frequently visited locations	Bring food	"I am a little tiered of going out, could you please bring __?"	Requesting help	"Breakfast, lunch, dinner, food"	
inside frequently visited locations	Bring food	Could you bring food for __?	Requesting help	"Me, us, collogues, family, yourself, children"	
inside frequently visited locations	Bring food	Could you bring __ after the __?	Requesting help	"Breakfast, lunch, dinner, food -- Meeting, event, session, interview, talk"	
nearby frequently visited locations	Bring food	I am going to bring __ for lunch	Notifying someone	"Food, pizza, sandwich, cookie, soup"	
nearby frequently visited locations	Bring food	I am ready for __	Notifying someone	"Breakfast, lunch, dinner"	
nearby frequently visited locations	Bring food	I am going to bring __ for breakfast	Notifying someone	"Food, tea, coffee, biscuits, bacon, pancakes, cookies, milk, bread"	
nearby frequently visited locations	Bring food	I am going to bring __ for dinner	Notifying someone	"Food, pizza, desert, cookies, wine, salad, soup, snacks"	
nearby frequently visited locations	Bring food	__ I will bring food for __	Notifying someone	"Today, tomorrow -- Breakfast, lunch, dinner "	
nearby frequently visited locations	Bring food	On __ I will bring food for __	Notifying someone	"Monday, Tuesday, Wednesday, Friday, Saturday, Sunday -- Breakfast, lunch, dinner "	
nearby frequently visited locations	Bring food	"Today I will skip __, no need to bring food"	Notifying someone	"Breakfast, lunch, dinner "	
nearby points-of-interest	Bring food	"I already had __, no need to bring food"	Notifying someone	"Meal, breakfast, lunch, dinner"	
nearby frequently visited locations	Bring food	I am waiting for my __ to bring food for me	Notifying someone	"family, son, daughter, wife, husband, mom, dad, colleague, friend"	
nearby points-of-interest	Bring food	My __ will bring food for me	Notifying someone	"Colleague, friend, family, children, husband, wife"	
nearby points-of-interest	Bring food	__ My __ will bring __ for me	Notifying someone	"Today, tomorrow -- Colleague, friend, family, children, husband, wife -- breakfast, lunch, dinner"	
nearby points-of-interest	Bring food	Let’s bring __ for the picnic	Scheduling plans	"Snacks, drinks, coffee, tea, sandwiches "	
nearby points-of-interest	Bring food	Let’s bring __ for dinner	Scheduling plans	"Food, pizza, desert, cookies, wine, salad, soup, snacks"	
nearby points-of-interest	Bring food	Let’s bring __ for lunch	Scheduling plans	"Food, pizza, sandwich, cookie, soup"	
nearby points-of-interest	Bring food	Let’s bring __ for breakfast	Scheduling plans	"Food, pizza, desert, cookies, wine, salad, soup, snacks"	
in-vehicle	Bring food	"Sorry, I can’t bring __ today "	Scheduling plans	"Meal, breakfast, lunch, dinner"	
in-vehicle	Bring food	"Sorry, I can’t bring __ tomorrow"	Scheduling plans	"Meal, breakfast, lunch, dinner"	
in-vehicle	Bring food	"Sorry, I can’t bring __ on __"	Scheduling plans	"Meal, breakfast, lunch, dinner -- Monday, Tuesday, Wednesday, Friday, Saturday, Sunday "	
in-vehicle	Bring food	Let’s plan to bring __ on __	Scheduling plans	"Meal, breakfast, lunch, dinner -- Monday, Tuesday, Wednesday, Friday, Saturday, Sunday "	
in-vehicle	Bring food	Let’s plan to bring __ for today	Scheduling plans	"Meal, breakfast, lunch, dinner "	
in-vehicle	Bring food	Let’s plan to bring __ for tomorrow 	Scheduling plans	"Meal, breakfast, lunch, dinner "	
in-vehicle	Bring food	"I can’t bring lunch at __, can I bring at __ instead?"	Rescheduling plans	"12, 1, 2, 3, 4 -- 12, 1, 2, 3, 4 "	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55 -- 05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	Bring food	"I can’t bring breakfast at __, can I bring at __ instead?"	Rescheduling plans	"7, 8, 9, 10 -- 7, 8, 9, 10"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55 -- 05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	Bring food	"I can’t bring dinner at __, can I bring at __ instead?"	Rescheduling plans	"6, 7, 8, 9 ,10 -- 6, 7, 8, 9 ,10"	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55 -- 05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
waiting at stations	Bring food	Who is going to bring __ for __?	Coordinating with someone	"Food, breakfast, meal, lunch, dinner, cookies -- today, tomorrow "	
waiting at stations	Bring food	Who is going to bring __ on __?	Coordinating with someone	"Food, breakfast, meal, lunch, dinner, cookies -- Monday, Tuesday, Wednesday, Friday, Saturday, Sunday "	
walking to stations	Bring food	What time do I have to bring the food?	Coordinating with someone		
walking to stations	Bring food	"On __, what time do I have to bring __?"	Coordinating with someone	"Monday, Tuesday, Wednesday, Friday, Saturday, Sunday -- Food, breakfast, meal, lunch, dinner"	
inside frequently visited locations	Bring food	Is it fine to bring breakfast at __ on __?	Coordinating with someone	"7, 8, 9, 10 -- Monday, Tuesday, Wednesday, Friday, Saturday, Sunday "	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
inside frequently visited locations	Bring food	Is it fine to bring lunch at __ on __?	Coordinating with someone	"12, 1, 2, 3, 4 -- Monday, Tuesday, Wednesday, Friday, Saturday, Sunday "	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
inside frequently visited locations	Bring food	Is it fine to bring dinner at __ on __?	Coordinating with someone	"6, 7, 8, 9 ,10 -- Monday, Tuesday, Wednesday, Friday, Saturday, Sunday "	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
inside frequently visited locations	Bring food	For __ is it fine to bring breakfast at __?	Coordinating with someone	"Today, tomorrow -- 7, 8, 9, 10 "	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
inside frequently visited locations	Bring food	For __ is it fine to bring lunch at __?	Coordinating with someone	"Today, tomorrow -- 12, 1, 2, 3, 4 "	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
inside frequently visited locations	Bring food	For __ is it fine to bring dinner at __?	Coordinating with someone	"Today, tomorrow -- 6, 7, 8, 9 ,10 "	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	Bring food	Don’t forget to bring __ for today	Reminding someone	"Food, breakfast, lunch, dinner"	
in-vehicle	Bring food	Don’t forget to bring __ for tomorrow	Reminding someone	"Food, breakfast, lunch, dinner"	
in-vehicle	Bring food	Don’t forget to bring __ on __	Reminding someone	"Food, breakfast, lunch, dinner -- Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday, Friday"	
in-vehicle	Bring food	For __ remember to bring breakfast at __	Reminding someone	"Today, tomorrow -- 7, 8, 9, 10 "	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	Bring food	For __ remember to bring lunch at __	Reminding someone	"Today, tomorrow -- 12, 1, 2, 3, 4 "	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	Bring food	For __ remember to bring dinner at __	Reminding someone	"Today, tomorrow -- 6, 7, 8, 9 ,10 "	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	Bring food	On __ remember to bring breakfast at __	Reminding someone	"Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday, Friday -- 7, 8, 9, 10 "	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	Bring food	On __ remember to bring lunch at __	Reminding someone	"Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday, Friday -- 12, 1, 2, 3, 4 "	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
in-vehicle	Bring food	On __ remember to bring dinner at __	Reminding someone	"Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday, Friday -- 6, 7, 8, 9 ,10 "	"05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55"
